Last name,First name,SSN,Test1,Test2,Test3,Test4,Grade
Alfalfa,Aloysius,123-45-6789,40,90,100,83,D-
Alfred,University,123-12-1234,41,97,96,97,D+
Gerty,Gramma,567-89-0123,41,80,60,40,C
Android,Electric,087-65-4321,42,23,36,45,B-
Bumpkin,Fred,456-78-9012,43,78,88,77,A-
Rubble,Betty,234-56-7890,44,90,80,90,C-
Noshow,Cecil,345-67-8901,45,11,-1,4,F
Buff,Bif,632-79-9939,46,20,30,40,B+
Airpump,Andrew,223-45-6789,49,1,90,100,B
Backus,Jim,143-12-1234,48,1,97,96,A+
Carnivore,Art,565-89-0123,44,1,80,60,D+
Dandy,Jim,087-75-4321,47,1,23,36,C+
Elephant,Ima,456-71-9012,45,1,78,88,B-
Franklin,Benny,234-56-2890,50,1,90,80,B-
George,Boy,345-67-3901,40,1,11,-1,B
Heffalump,Harvey,632-79-9439,30,1,20,30,C
